row,trainAUC,testAUC,spec,sen,best,n.trees,interaction.depth,shrinkage,n.minobsinnode,seed,id,id2
1,0.9249113447997466,0.9249113447997466,0.9158031088082902,0.7455621301775148,9987,10000,2,0.001,4,1,10000 2 0.001 4,1
2,0.9328967000848228,0.9328967000848228,0.9196891191709845,0.7593688362919132,1231,10000,2,0.01,4,1,10000 2 0.01 4,2
3,0.9417622201101675,0.9417622201101675,0.9248704663212435,0.7731755424063116,9068,10000,3,0.001,4,1,10000 3 0.001 4,4
4,0.9446620371789761,0.9446620371789761,0.9235751295336787,0.7869822485207101,977,10000,3,0.01,4,1,10000 3 0.01 4,5
5,0.9546402182910753,0.9546402182910753,0.9300518134715026,0.8067061143984221,8590,10000,4,0.001,4,1,10000 4 0.001 4,7
6,0.947684489683294,0.947684489683294,0.9222797927461139,0.7889546351084813,730,10000,4,0.01,4,1,10000 4 0.01 4,8
7,0.9390450787421692,0.9390450787421692,0.9248704663212435,0.7731755424063116,14611,15000,2,0.001,4,1,15000 2 0.001 4,10
8,0.93322883772266,0.93322883772266,0.9183937823834197,0.757396449704142,1231,15000,2,0.01,4,1,15000 2 0.01 4,11
9,0.9147888115604337,0.9147888115604337,0.9106217616580311,0.73767258382643,15000,15000,2,5e-4,4,1,15000 2 5e-04 4,12
10,0.9468503132313415,0.9468503132313415,0.9248704663212435,0.7869822485207101,10119,15000,3,0.001,4,1,15000 3 0.001 4,13
11,0.944863874666585,0.944863874666585,0.9300518134715026,0.7790927021696252,977,15000,3,0.01,4,1,15000 3 0.01 4,14
12,0.9344666891498299,0.9344666891498299,0.9183937823834197,0.7554240631163708,14952,15000,3,5e-4,4,1,15000 3 5e-04 4,15
13,0.9547385821299732,0.9547385821299732,0.9287564766839378,0.8047337278106509,8590,15000,4,0.001,4,1,15000 4 0.001 4,16
14,0.9469180182113622,0.9469180182113622,0.927461139896373,0.7850098619329389,730,15000,4,0.01,4,1,15000 4 0.01 4,17
15,0.9488584684878029,0.9488584684878029,0.9248704663212435,0.7869822485207101,14858,15000,4,5e-4,4,1,15000 4 5e-04 4,18
16,0.939114061174643,0.939114061174643,0.9248704663212435,0.7672583826429981,14611,20000,2,0.001,4,1,20000 2 0.001 4,19
17,0.932745960695343,0.932745960695343,0.9196891191709845,0.7534516765285996,1231,20000,2,0.01,4,1,20000 2 0.01 4,20
18,0.9251029626677295,0.9251029626677295,0.9158031088082902,0.7495069033530573,20000,20000,2,5e-4,4,1,20000 2 5e-04 4,21
19,0.9465054010689723,0.9465054010689723,0.9248704663212435,0.7790927021696252,10119,20000,3,0.001,4,1,20000 3 0.001 4,22
20,0.9458909464389735,0.9458909464389735,0.9248704663212435,0.7810650887573964,977,20000,3,0.01,4,1,20000 3 0.01 4,23
21,0.9447450715884356,0.9447450715884356,0.9248704663212435,0.7830374753451677,19281,20000,3,5e-4,4,1,20000 3 5e-04 4,24
22,0.9549008185915321,0.9549008185915321,0.9300518134715026,0.8007889546351085,8590,20000,4,0.001,4,1,20000 4 0.001 4,25
23,0.9473165833767667,0.9473165833767667,0.9261658031088082,0.7909270216962525,730,20000,4,0.01,4,1,20000 4 0.01 4,26
24,0.951597326547506,0.951597326547506,0.9261658031088082,0.7988165680473372,15915,20000,4,5e-4,4,1,20000 4 5e-04 4,27
25,0.9388943393526893,0.9388943393526893,0.9248704663212435,0.7672583826429981,14611,25000,2,0.001,4,1,25000 2 0.001 4,28
26,0.9325747820666116,0.9325747820666116,0.9196891191709845,0.7554240631163708,1231,25000,2,0.01,4,1,25000 2 0.01 4,29
27,0.9330819306905397,0.9330819306905397,0.917098445595855,0.7554240631163708,24947,25000,2,5e-4,4,1,25000 2 5e-04 4,30
28,0.9465513893572881,0.9465513893572881,0.9248704663212435,0.7850098619329389,10119,25000,3,0.001,4,1,25000 3 0.001 4,31
29,0.9445432341008267,0.9445432341008267,0.9235751295336787,0.7790927021696252,977,25000,3,0.01,4,1,25000 3 0.01 4,32
30,0.9445917772940491,0.9445917772940491,0.9235751295336787,0.7751479289940828,19281,25000,3,5e-4,4,1,25000 3 5e-04 4,33
31,0.954859940113029,0.954859940113029,0.9287564766839378,0.8086785009861933,8590,25000,4,0.001,4,1,25000 4 0.001 4,34
32,0.9471505145578482,0.9471505145578482,0.9222797927461139,0.777120315581854,730,25000,4,0.01,4,1,25000 4 0.01 4,35
33,0.9516049912622252,0.9516049912622252,0.9261658031088082,0.7948717948717948,15915,25000,4,5e-4,4,1,25000 4 5e-04 4,36
34,0.9021305352014798,0.9021305352014798,0.9093264248704663,0.7159763313609467,5000,5000,2,0.001,4,1,5000 2 0.001 4,37
35,0.9323933838182542,0.9323933838182542,0.9235751295336787,0.7514792899408284,1231,5000,2,0.01,4,1,5000 2 0.01 4,38
36,0.9194808944211097,0.9194808944211097,0.9132124352331606,0.7396449704142012,5000,5000,3,0.001,4,1,5000 3 0.001 4,40
37,0.9452317809731122,0.9452317809731122,0.9235751295336787,0.7810650887573964,977,5000,3,0.01,4,1,5000 3 0.01 4,41
38,0.9331662425524522,0.9331662425524522,0.917098445595855,0.7554240631163708,5000,5000,4,0.001,4,1,5000 4 0.001 4,43
39,0.9475707964149573,0.9475707964149573,0.9235751295336787,0.7850098619329389,730,5000,4,0.01,4,1,5000 4 0.01 4,44
